tweet,retweetsCount,favoritesCount,timestamp
"@Thom_astro: I will be offline for 10 days now, astronauts sometimes have holidays too! Merry Christmas everyone!",12,34,Fri Dec 19 10:43:16 +0000 2014
"RT @LesEchos: Inde : lancement réussi d'une nouvelle fusée et d'une capsule spatiale habitable http://t.co/2FxdmPzs54",12,0,Thu Dec 18 08:25:52 +0000 2014
"Safety training #AirFrance: putting out fires, using emergency equipment #BeReady Many similarities w/ISS http://t.co/SjNseWNoct",44,62,Tue Dec 16 07:33:05 +0000 2014
"@cpamoa @Brigitte_Ba J'avoue avoir été tenté, il y a de ça quelques années à Paris...",0,1,Mon Dec 15 23:24:04 +0000 2014
"L'air pas réveillé ;) MT @AFnewsroom Ajd, Th Pesquet, #astronaute et #pilote était aux commandes du vol #AF1306 @esa http://t.co/mAL1xkTO0z",23,52,Mon Dec 15 13:03:35 +0000 2014
"@Jordan_D Je ne sais pas... Tente ta chance!",0,0,Fri Dec 12 13:59:43 +0000 2014
"D'autres vols ISS d'un an? Conférence à Paris, jeudi 18 @Astro_Andreas @StationCDRKelly @Astro_Jeremy @Astro_Soichi http://t.co/mLagQVuTHN",2,2,Fri Dec 12 11:47:58 +0000 2014
"@OlesyaIvanchina Merci! Joyeuses fêtes, Alessia!",0,0,Fri Dec 12 10:54:39 +0000 2014
"Good bye #StarCity, see you in spring, now is time to fly back home and towards new adventures! http://t.co/cMTZj0Ksa4",15,31,Fri Dec 12 10:44:16 +0000 2014
"Premier pas vers Mars!!! MT @ESA_fr @esa Décollage du vol de test d'#Orion http://t.co/2kH6CpKu1W",31,40,Fri Dec 05 12:25:11 +0000 2014
"RT @cpamoa: Pour tout savoir des étapes de la mission d'aujourd'hui http://t.co/onI91vCHVE #Orion #EFT1 http://t.co/J37UL4wlC0",9,0,Fri Dec 05 12:24:27 +0000 2014
"In space, you re-learn the simplest things, like drinking and eating. @Astro_Andreas demonstrates proper technique http://t.co/hE8SMVgnYN",16,21,Fri Dec 05 10:51:05 +0000 2014
"RT @SpaceflightNow: Still want to see a rocket launch today? Live coverage of #Ariane5 launch at 3:38p EST: http://t.co/GvYMbZRXK1 #VA221 h…",162,0,Thu Dec 04 15:30:08 +0000 2014
"La vidéo du vol en formation des 5 @Airbus A350 est sortie! Magnifiques images... et un ex-astronaute aux commandes https://t.co/9Mcsk2HLpS",31,27,Wed Dec 03 07:35:19 +0000 2014
"Il faut souffrir pour avoir un siège de Soyuz moulé à sa taille (oui c'est moi au milieu!) http://t.co/jBieNIceUd",51,44,Tue Dec 02 15:02:15 +0000 2014
"What's going on in this pic?!! Apendix operation? No! Gypsum bath for Soyuz seat liner molding http://t.co/J9r0grIo6w",12,20,Tue Dec 02 11:54:06 +0000 2014
".@astro_luca did you say that I looked inspired on a pic the other day? CC @astro_timpeake @Astro_Alex @Astro_Andreas http://t.co/yY41SlmGiT",5,27,Tue Dec 02 10:21:40 +0000 2014
"RT @sup_recherche: 'l’Espace= + que jamais une gde chance pour Europe :générateur de compétitivité, d’emplois, d’innovation, d’avancées sci…",8,0,Tue Dec 02 10:15:46 +0000 2014
"RT @ISAE_officiel: Félicitations aux diplômés SUPAERO promo 2014 ! http://t.co/wfsnMJTj0K",10,0,Sat Nov 29 20:38:07 +0000 2014
"RT @francediplo: Le #français est la 5e langue mondiale avec 274 millions de locuteurs et 125 millions d'apprenants ! #SFDK2014 http://t.co…",448,0,Sat Nov 29 09:22:18 +0000 2014
"RT @HauteNormandie: Forum du savoir 29 janv accueille Thomas Pesquet, le 10ème français à s'envoler dans l'espace. Thème: l'exploration spa…",6,0,Fri Nov 28 14:19:03 +0000 2014
"Approach to Paris CDG airport in the clouds https://t.co/UQCKljiN6s",18,39,Tue Nov 25 19:53:55 +0000 2014
"One of the only pics we have from wilderness trg w/@NOLSedu, crew of @Astro_Kate7, P. Whitson, S. Kimbrough et al. http://t.co/dqSqAfMr31",5,10,Tue Nov 25 10:54:30 +0000 2014
"RT @wakka44: Démantèlment du compte à rebours du #KSC http://t.co/yes1niWUC0",13,0,Mon Nov 24 21:00:42 +0000 2014
"Godspeed @AstroSamantha, @AstroTerry and @AntonAstrey! We will be watching, and you're taking a part of us with you!",33,57,Sun Nov 23 17:15:45 +0000 2014
"RT @TEDxParis: Notre talkist venue d'ailleurs ! Depuis 5 ans, les talkers @TEDxParis explorent pour nous les confins de l'#univers ! http:/…",11,0,Fri Nov 21 21:33:05 +0000 2014
".@astro_tim @astro_timpeake nice design!",3,6,Fri Nov 21 21:28:20 +0000 2014
"RT @marco_t: What happens in terms of Science on the Intl. @Space_Station? ISS Science Workshop live from @ESA_EAC https://t.co/XaI8wVmK6U …",21,0,Wed Nov 19 10:05:10 +0000 2014
