tweet,retweetsCount,favoritesCount,timestamp
"RT @NASA: “Today was a great day for America'- #Orion Flight Dir Mike Sarafin  At 1:30pm ET: NASA TV airs post-mission updates http://t.co/…",985,0,Fri Dec 05 19:43:25 +0000 2014
"RT @NASAKennedy: Camera on #Orion captured views out the window during the heat of re-entry as the capsule plummeted toward Earth. http://t…",1806,0,Fri Dec 05 19:29:38 +0000 2014
"RT @NASA_Langley: Still on cloud 9 after successful #Orion flight test! Our teams have reason to be proud: http://t.co/sDomQhhtOW",15,0,Fri Dec 05 19:29:20 +0000 2014
"RT @NASAGoddard: RT @sploid: Why Orion's launch is the best news for humanity in a long time http://t.co/xZR0crMY1M http://t.co/4mlJ2KrUaW",226,0,Fri Dec 05 19:29:15 +0000 2014
"RT @LockheedMartin: #Orion's test was about 4.5 hrs but what we learn could change history forever: http://t.co/BLzd5q3vu4 #JourneyToMars h…",839,0,Fri Dec 05 19:29:13 +0000 2014
"On my way to the mother ship. Raise your glass for all NASA people, peeps at the 10 NASA Centers who worked #Orion, and dreamers everywhere!",1,1,Fri Dec 05 19:28:58 +0000 2014
"RT @spacegirly: Never gets old @NASA_Orion: Incredible video of #Orion reentry from @NASAArmstrong Ikhana remotely piloted aircraft https:/…",2,0,Fri Dec 05 19:07:58 +0000 2014
"RT @schierholz: Gerstenmaier at #Orion briefing: I am so impressed with the work the @NASA_SLS and @NASA_Orion teams are doing.",12,0,Fri Dec 05 19:03:30 +0000 2014
"RT @harbingeralpha: Tons of work happening behind-the-scenes at @NASA. Rocket motor tests, assembly, welding… #Orion #SLS http://t.co/qNb0B…",3,0,Fri Dec 05 19:03:25 +0000 2014
"RT @NASA_Orion: Geyer at #Orion briefing: It's a great team; they put out quality work every day",35,0,Fri Dec 05 19:03:05 +0000 2014
"RT @NASA: #Orion traveled 60,000 miles + farther into space than any ship for humans has gone in 40+ yrs!",4811,0,Fri Dec 05 19:02:58 +0000 2014
"RT @cstampeen: Thank goodness for @NASApeople @esa @ISS_Research - uplifting to see people come together to do cool stuff, with offshoot be…",1,0,Fri Dec 05 19:00:03 +0000 2014
"RT @NASA_FB: The #Orion crew module splashed down in the Pacific Ocean approximately 600 southwest of San Diego at 11:29 a.m.... http://t.c…",4,0,Fri Dec 05 16:32:34 +0000 2014
"RT @NASAPrize: 'A bullseye splashdown for America's newest spacecraft.' #Orion #321techoff",5,0,Fri Dec 05 16:32:24 +0000 2014
"RT @willgater: Great drone footage of #Orion falling back to Earth under parachutes on NASA TV: http://t.co/BuWuIEBfcj http://t.co/W2i0nKLT…",12,0,Fri Dec 05 16:32:13 +0000 2014
"RT @LauraKeeney: SPLASHDOWN! Astronaut triple fistbump. #orion #EFT1 http://t.co/ZTUDQ0FTSo",35,0,Fri Dec 05 16:31:25 +0000 2014
"RT @TheHeathernaut: Beautiful! Just beautiful. #Orion. RT @BigBadEd: Wonderful view http://t.co/MTMXLvxC7F",3,0,Fri Dec 05 16:30:43 +0000 2014
"CHEERING CHEERING CHEERING",5,3,Fri Dec 05 16:26:27 +0000 2014
"Parachutes get a cheer!",1,0,Fri Dec 05 16:25:06 +0000 2014
"NASA People cross all your fingers and toes and wish as hard as you can! #Orion",0,1,Fri Dec 05 16:21:09 +0000 2014
"RT @NASA_Orion: Friction of Earth's atmosphere makes a superheated plasma around #Orion, blocking comm signals",172,0,Fri Dec 05 16:20:13 +0000 2014
"RT @UnionSTEM: We're excited for #orion splashdown! #EFT1 http://t.co/zQNm86aREA",3,0,Fri Dec 05 16:20:04 +0000 2014
"The moment of truth is here!",2,0,Fri Dec 05 16:19:12 +0000 2014
"We're seeing beautiful pictures of our favorite planet!",1,0,Fri Dec 05 16:18:03 +0000 2014
"RT @wetatvfm: If you missed @NASA_Orion's launch this morning, watch it right here, via @NewsHour: http://t.co/iiOzFSVkrf #Orion",2,0,Fri Dec 05 16:16:45 +0000 2014
"RT @NASA: #Orion's heatshield will test temps 80% of what it would endure on a return from lunar orbit. http://t.co/6XtjOi1yJo http://t.co/…",817,0,Fri Dec 05 16:16:13 +0000 2014
"RT @SpaceflightIns: Just a few minutes before entry interface! #Orion  #OrionLaunch #EFT1  #DeltaIVHeavy Live tracking of @NASA_Orion http:…",7,0,Fri Dec 05 16:12:16 +0000 2014
"RT @davelavery: #Orion views Earth from &gt;3,000 miles up as spacecraft prepares for high-speed, high-temp reentry starting in ~10 mins http:…",4,0,Fri Dec 05 16:11:22 +0000 2014
"RT @ClarksonAlumni: MT @NASA_Johnson: Lead flight director for Orion's first flight @ClarksonUniv alum Mike Sarafin '94 http://t.co/daQ91ZS…",5,0,Fri Dec 05 16:11:14 +0000 2014
"#Orion will decelerate from 22,000 to 20mph. You can ride a bike 20 mph. I can't ride a bike 20 mph, but I'm sure NASAPeople can!",1,0,Fri Dec 05 16:09:11 +0000 2014
"Orion will decelerate from 22,000 to 20mph. You can ride a bike 20 mph. I can't ride a bike 20 mph, but I'm sure NASAPeople can!",0,1,Fri Dec 05 16:08:27 +0000 2014
"#Orion parachutes cover the length of a football field!",0,2,Fri Dec 05 16:06:46 +0000 2014
"RT @NASA_Johnson: The #Orion flag is raised over #NASAJohnson in the midst of a historic mission. http://t.co/1c0plLyF40 http://t.co/RubHJK…",173,0,Fri Dec 05 15:24:15 +0000 2014
"RT @rke21: RT @AstroTerry: watching #Orion launch with our crew from the #ISS- awesome!!! http://t.co/7YjSMKuFaI",3,0,Fri Dec 05 15:23:22 +0000 2014
"RT @USAInteracts: MT@Astro_Cady: #Orion and chat w/ @astro_pettit &amp; @Cmdr_Hadfield?? (just released!!)  What more could one ask for?!  http…",1,0,Fri Dec 05 15:22:16 +0000 2014
"RT @NASA_Orion: The Ikhana remotely piloted aircraft is currently circling the landing site to capture #Orion return http://t.co/dnaQ99TQiE",445,0,Fri Dec 05 15:22:07 +0000 2014
"Crew module separation in 10 minutes!",0,1,Fri Dec 05 15:20:36 +0000 2014
"RT @WSJ: NASA launches the #Orion spacecraft. A photo of Earth taken from Orion: http://t.co/d1ToHLu1bl http://t.co/3dB12UWF5v",282,0,Fri Dec 05 12:41:14 +0000 2014
"RT @NASAInSight: RT @NASAKennedy Image of #Orion launch. Tune in now to NASA TV at http://t.co/IHIXuM0aAC http://t.co/73SS5bAxOj #journeyto…",17,0,Fri Dec 05 12:40:59 +0000 2014
"RT @alexwitze: Hello world. http://t.co/AMVsAp9zOV",10,0,Fri Dec 05 12:40:45 +0000 2014
"RT @SpaceLauren: Now NASA TV is airing replays from our various cameras. Stunning views of launch.",19,0,Fri Dec 05 12:40:40 +0000 2014
"RT @Astro_DavidS: @NASA_Orion now safely in low earth orbit. Next step in a few hours will climb to a much higher orbit and re-enter atmosp…",39,0,Fri Dec 05 12:40:35 +0000 2014
"NASA People in CA wait patiently for splash down. How does recovery work?  Think 'The Spy Who Loved Me' http://t.co/v8YM9hqKAc",0,2,Fri Dec 05 12:40:27 +0000 2014
"First pictures of our favorite planet from #Orion.  We can see the Northern lights! http://t.co/uhLNIkOR02",9,4,Fri Dec 05 12:20:43 +0000 2014
"NASA People are AWSOME. Congrats to the entire #Orion team!  Everyone one the planet wants to work at NASA today!",1,1,Fri Dec 05 12:18:37 +0000 2014
"First pictures of Earth from #Orion http://t.co/KmMqrhEVdL",61,45,Fri Dec 05 12:16:16 +0000 2014
"RT @NASA_Marshall: We have liftoff! Go #Orion! http://t.co/zBnCAzysBQ",163,0,Fri Dec 05 12:13:40 +0000 2014
"We can see the curvature of the earth from #orion",0,0,Fri Dec 05 12:13:02 +0000 2014
"Everything going extremely well. GO MASA PEOPLE! #orion",0,0,Fri Dec 05 12:12:20 +0000 2014
"We're watching #orion from space!",4,4,Fri Dec 05 12:11:39 +0000 2014
"Ignition on the second stage #orion",0,0,Fri Dec 05 12:11:11 +0000 2014
"MECO!  Main engine cut off #orion",0,0,Fri Dec 05 12:10:54 +0000 2014
"One minute left in first stage #orion",0,0,Fri Dec 05 12:10:20 +0000 2014
